Scenario_ID,AttackTree_ID,AttackTree_Key,Step,Step_num,Technique_ID,Technique_Name,Asset,Pi,Mi_Current,Ci,Qi_Current,Qhat_i_Current,Ri_Current,Mi_Full,Qhat_i_Full,Ri_Full,Mi_Worst,Qhat_i_Worst,Ri_Worst,Rtree_Current,Rtree_Full,Rtree_Worst,Log_Ratio,Risk_Class,Risk_B_Flag,High_Mi_Flag,High_Qhat_Flag,Formula_Check
B,1,B-001,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,1,B-001,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,1,B-001,S3,3,T1059.009,Cloud API,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,1,B-001,S4,4,T1486,Data Encrypted for Impact,Business Server OnCloud,0.900000,0.100000,2.000000,0.090000,0.180000,0.000326,0.100000,0.180000,0.000071,0.900000,1.000000,0.236196,0.000326,0.000071,0.236196,0.188130,Risk C,0,0,0,0.000000
B,2,B-002,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,2,B-002,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,2,B-002,S3,3,T1059.009,Cloud API,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,2,B-002,S4,4,T1496.001,Compute Hijacking,Business Server OnCloud,0.720000,0.280000,2.000000,0.201600,0.403200,0.000730,0.100000,0.144000,0.000057,0.900000,1.000000,0.236196,0.000730,0.000057,0.236196,0.306624,Risk C,0,1,1,0.000000
B,3,B-003,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,3,B-003,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,3,B-003,S3,3,T1059.009,Cloud API,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,3,B-003,S4,4,T1496.002,Bandwidth Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,4,B-004,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,4,B-004,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,4,B-004,S3,3,T1059.009,Cloud API,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,4,B-004,S4,4,T1496.004,Cloud Service Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,5,B-005,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,5,B-005,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,5,B-005,S3,3,T1484.002,Trust Modification,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,5,B-005,S4,4,T1486,Data Encrypted for Impact,Business Server OnCloud,0.900000,0.100000,2.000000,0.090000,0.180000,0.000326,0.100000,0.180000,0.000071,0.900000,1.000000,0.236196,0.000326,0.000071,0.236196,0.188130,Risk C,0,0,0,0.000000
B,6,B-006,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,6,B-006,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,6,B-006,S3,3,T1484.002,Trust Modification,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,6,B-006,S4,4,T1496.001,Compute Hijacking,Business Server OnCloud,0.720000,0.280000,2.000000,0.201600,0.403200,0.000730,0.100000,0.144000,0.000057,0.900000,1.000000,0.236196,0.000730,0.000057,0.236196,0.306624,Risk C,0,1,1,0.000000
B,7,B-007,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,7,B-007,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,7,B-007,S3,3,T1484.002,Trust Modification,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,7,B-007,S4,4,T1496.002,Bandwidth Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,8,B-008,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,8,B-008,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
