Scenario_ID,AttackTree_ID,Step,Step_num,Technique_ID,Technique_Name_J,Asset,Pi,DS_Total,DS_Selected,Maturity,Mi,Base_Risk,R_prev,Propagation_Term,Ri,Sector_Add,R_total
BoE-S1,1,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,1,S2,2,T1014,Rootkit,"""AD OnPremise"",",0.9,3,3,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,1,S3,3,T1053.005,Scheduled Task,Gakushu Server OnCloud,0.9,7,7,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,1,S4,4,T1485,Data Destruction,"""Cloud Storage"",",0.9,10,10,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,2,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,2,S2,2,T1014,Rootkit,"""AD OnPremise"",",0.9,3,3,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,2,S3,3,T1053.005,Scheduled Task,Gakushu Server OnCloud,0.9,7,7,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,2,S4,4,T1486,Data Encrypted for Impact,"""Cloud Storage"",",0.9,6,6,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,3,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,3,S2,2,T1014,Rootkit,"""AD OnPremise"",",0.9,3,3,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,3,S3,3,T1053.005,Scheduled Task,Gakushu Server OnCloud,0.9,7,7,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,3,S4,4,T1489,Service Stop,"""Cloud Storage"",",0.9,7,7,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,4,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,4,S2,2,T1014,Rootkit,"""AD OnPremise"",",0.9,3,3,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,4,S3,3,T1068,Exploitation for Privilege Escalation,Gakushu Server OnCloud,0.9,2,2,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,4,S4,4,T1485,Data Destruction,"""Cloud Storage"",",0.9,10,10,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,5,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,5,S2,2,T1014,Rootkit,"""AD OnPremise"",",0.9,3,3,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,5,S3,3,T1068,Exploitation for Privilege Escalation,Gakushu Server OnCloud,0.9,2,2,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,5,S4,4,T1486,Data Encrypted for Impact,"""Cloud Storage"",",0.9,6,6,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,6,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,6,S2,2,T1014,Rootkit,"""AD OnPremise"",",0.9,3,3,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,6,S3,3,T1068,Exploitation for Privilege Escalation,Gakushu Server OnCloud,0.9,2,2,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,6,S4,4,T1489,Service Stop,"""Cloud Storage"",",0.9,7,7,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,7,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,7,S2,2,T1014,Rootkit,"""AD OnPremise"",",0.9,3,3,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,7,S3,3,T1055.001,Dynamic-link Library Injection,Gakushu Server OnCloud,0.9,5,5,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,7,S4,4,T1485,Data Destruction,"""Cloud Storage"",",0.9,10,10,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,8,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,8,S2,2,T1014,Rootkit,"""AD OnPremise"",",0.9,3,3,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,8,S3,3,T1055.001,Dynamic-link Library Injection,Gakushu Server OnCloud,0.9,5,5,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,8,S4,4,T1486,Data Encrypted for Impact,"""Cloud Storage"",",0.9,6,6,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,9,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,9,S2,2,T1014,Rootkit,"""AD OnPremise"",",0.9,3,3,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,9,S3,3,T1055.001,Dynamic-link Library Injection,Gakushu Server OnCloud,0.9,5,5,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,9,S4,4,T1489,Service Stop,"""Cloud Storage"",",0.9,7,7,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,10,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,10,S2,2,T1027,Obfuscated Files or Information,"""AD OnPremise"",",0.9,10,10,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,10,S3,3,T1053.005,Scheduled Task,Gakushu Server OnCloud,0.9,7,7,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,10,S4,4,T1485,Data Destruction,"""Cloud Storage"",",0.9,10,10,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,11,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,11,S2,2,T1027,Obfuscated Files or Information,"""AD OnPremise"",",0.9,10,10,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,11,S3,3,T1053.005,Scheduled Task,Gakushu Server OnCloud,0.9,7,7,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,11,S4,4,T1486,Data Encrypted for Impact,"""Cloud Storage"",",0.9,6,6,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,12,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,12,S2,2,T1027,Obfuscated Files or Information,"""AD OnPremise"",",0.9,10,10,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,12,S3,3,T1053.005,Scheduled Task,Gakushu Server OnCloud,0.9,7,7,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,12,S4,4,T1489,Service Stop,"""Cloud Storage"",",0.9,7,7,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,13,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,13,S2,2,T1027,Obfuscated Files or Information,"""AD OnPremise"",",0.9,10,10,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,13,S3,3,T1068,Exploitation for Privilege Escalation,Gakushu Server OnCloud,0.9,2,2,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,13,S4,4,T1485,Data Destruction,"""Cloud Storage"",",0.9,10,10,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,14,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,14,S2,2,T1027,Obfuscated Files or Information,"""AD OnPremise"",",0.9,10,10,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,14,S3,3,T1068,Exploitation for Privilege Escalation,Gakushu Server OnCloud,0.9,2,2,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,14,S4,4,T1486,Data Encrypted for Impact,"""Cloud Storage"",",0.9,6,6,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,15,S1,1,T1078,Valid Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
