No,Technique_ID,Freq_Group,Freq_Campaign,Freq_Software,Freq_Total,Freq_BinScore,No_Mitigation_Flag,No_PCD_Flag,Applicable,Freq_Group_Pct,Freq_Campaign_Pct,Freq_Software_Pct,Freq_Total_Pct,Unnamed: 14,TID_root,Tactic_ID,Ito_Threat_Category,Step,Freq_Total_Pct_BIN5,Pi_freq,Detection_DataSources_Count,Detection_DataSources_List
1,T1105,83,25,374,482,5,0,1,0,2.051,2.772,3.703,3.203,,T1105,command-and-control,Secondary Intrusion,S3,5,0.9,5,File: File Creation; Network Traffic: Network Traffic Content; Network Traffic: Network Traffic Flow; Command: Command Execution; Network Traffic: Network Connection Creation
2,T1082,54,13,354,421,5,1,0,1,1.335,1.441,3.505,2.798,,T1082,discovery,Secondary Action,S2,5,0.9,3,Process: OS API Execution; Process: Process Creation; Command: Command Execution
3,T1071.001,55,18,317,390,5,0,1,0,1.359,1.996,3.138,2.592,,T1071,command-and-control,Secondary Intrusion,S3,5,0.9,2,Network Traffic: Network Traffic Content; Network Traffic: Network Traffic Flow
4,T1059.003,68,14,280,362,5,0,1,0,1.681,1.552,2.772,2.405,,T1059,execution,Secondary Intrusion,S3,5,0.9,2,Command: Command Execution; Process: Process Creation
5,T1083,47,8,288,343,5,1,0,1,1.162,0.887,2.851,2.279,,T1083,discovery,Secondary Action,S2,5,0.9,3,Command: Command Execution; Process: Process Creation; Process: OS API Execution
6,T1140,36,11,256,303,5,1,1,0,0.89,1.22,2.534,2.013,,T1140,defense-evasion,Secondary Action,S2,5,0.9,3,Process: Process Creation; Script: Script Execution; File: File Modification
7,T1057,36,8,246,290,5,1,0,1,0.89,0.887,2.435,1.927,,T1057,discovery,Secondary Action,S2,5,0.9,3,Process: Process Creation; Process: OS API Execution; Command: Command Execution
8,T1070.004,43,10,233,286,5,1,1,0,1.063,1.109,2.307,1.9,,T1070,defense-evasion,Secondary Action,S2,5,0.9,2,Command: Command Execution; File: File Deletion
9,T1016,40,9,217,266,5,1,0,1,0.989,0.998,2.148,1.768,,T1016,discovery,Secondary Action,S2,5,0.9,4,Command: Command Execution; Script: Script Execution; Process: Process Creation; Process: OS API Execution
10,T1547.001,54,3,187,244,5,1,0,1,1.335,0.333,1.851,1.621,,T1547,"persistence, privilege-escalation",Secondary Action,S2,5,0.9,5,Command: Command Execution; File: File Modification; Process: Process Creation; Windows Registry: Windows Registry Key Creation; Windows Registry: Windows Registry Key Modification
11,T1033,37,6,177,220,5,1,0,1,0.914,0.665,1.752,1.462,,T1033,discovery,Secondary Action,S2,5,0.9,9,Active Directory: Active Directory Object Access; Process: OS API Execution; Command: Command Execution; Network Traffic: Network Traffic Content; Process: Process Creation; Network Traffic: Network Traffic Flow; Windows Registry: Windows Registry Key Access; File: File Access; Process: Process Access
12,T1059.001,79,15,120,214,5,0,1,0,1.953,1.663,1.188,1.422,,T1059,execution,Secondary Intrusion,S3,5,0.9,5,Script: Script Execution; Process: Process Creation; Process: Process Metadata; Command: Command Execution; Module: Module Load
13,T1005,43,13,156,212,5,0,0,1,1.063,1.441,1.544,1.409,,T1005,collection,Secondary Action,S2,5,0.9,5,Process: OS API Execution; Script: Script Execution; Command: Command Execution; Process: Process Creation; File: File Access
14,T1027.013,36,10,157,203,5,0,1,0,0.89,1.109,1.554,1.349,,T1027,defense-evasion,Secondary Action,S2,5,0.9,2,File: File Creation; File: File Metadata
15,T1106,16,4,176,196,5,0,1,0,0.395,0.443,1.742,1.302,,T1106,execution,Secondary Intrusion,S3,5,0.9,2,Process: OS API Execution; Module: Module Load
16,T1036.005,59,12,122,193,5,0,1,0,1.458,1.33,1.208,1.282,,T1036,defense-evasion,Secondary Action,S2,5,0.9,4,File: File Metadata; Image: Image Metadata; Process: Process Metadata; Process: Process Creation
17,T1041,22,8,150,180,5,0,1,0,0.544,0.887,1.485,1.196,,T1041,exfiltration,Final Impact,S4,5,0.9,5,Command: Command Execution; File: File Access; Network Traffic: Network Connection Creation; Network Traffic: Network Traffic Content; Network Traffic: Network Traffic Flow
18,T1204.002,83,11,83,177,5,0,1,0,2.051,1.22,0.822,1.176,,T1204,execution,Secondary Intrusion,S3,5,0.9,2,Process: Process Creation; File: File Creation
19,T1053.005,52,11,108,171,5,0,0,1,1.285,1.22,1.069,1.136,,T1053,"execution, persistence, privilege-escalation",Secondary Action,S2,5,0.9,7,Windows Registry: Windows Registry Key Creation; File: File Modification; File: File Creation; Process: Process Creation; Command: Command Execution; Network Traffic: Network Traffic Flow; Scheduled Job: Scheduled Job Creation
20,T1573.001,13,2,150,165,5,0,1,0,0.321,0.222,1.485,1.096,,T1573,command-and-control,Secondary Intrusion,S3,5,0.9,1,Network Traffic: Network Traffic Content
21,T1112,28,4,132,164,5,0,0,1,0.692,0.443,1.307,1.09,,T1112,"defense-evasion, persistence",Secondary Action,S2,5,0.9,7,Windows Registry: Windows Registry Key Modification; Process: OS API Execution; Network Traffic: Network Traffic Flow; Command: Command Execution; Windows Registry: Windows Registry Key Deletion; Windows Registry: Windows Registry Key Creation; Process: Process Creation
22,T1113,18,0,145,163,5,1,0,1,0.445,0,1.436,1.083,,T1113,collection,Secondary Action,S2,5,0.9,2,Command: Command Execution; Process: OS API Execution
23,T1027,18,3,127,148,5,0,1,0,0.445,0.333,1.257,0.983,,T1027,defense-evasion,Secondary Action,S2,5,0.9,10,WMI: WMI Creation; Script: Script Execution; File: File Creation; Module: Module Load; Application Log: Application Log Content; Command: Command Execution; File: File Metadata; Process: OS API Execution; Windows Registry: Windows Registry Key Creation; Process: Process Creation
