Technique_ID,Technique_Name,Sector,Count_Unique_Sources,Sample_Sources
T1001,Data Obfuscation,Energy/Utilities,4,Operation Wocao(campaign); RDAT(malware); SideTwist(malware); SLOTHFULMEDIA(malware)
T1001,Data Obfuscation,Finance,1,Operation Wocao(campaign)
T1001,Data Obfuscation,Government/Public,4,Operation Wocao(campaign); Gamaredon Group(intrusion-set); Ninja(malware); SLOTHFULMEDIA(malware)
T1001,Data Obfuscation,Retail/Consumer,2,Operation Wocao(campaign); Ninja(malware)
T1001,Data Obfuscation,Telecom,1,RDAT(malware)
T1001,Data Obfuscation,Transportation/Logistics,2,Operation Wocao(campaign); TrailBlazer(malware)
T1001.001,Junk Data,Government/Public,3,APT28(intrusion-set); Turian(malware); GoldMax(malware)
T1001.001,Junk Data,Manufacturing/Industrial,3,BendyBear(malware); Uroburos(malware); Kevin(malware)
T1001.001,Junk Data,Telecom,1,Turian(malware)
T1001.001,Junk Data,Transportation/Logistics,4,APT28(intrusion-set); Turian(malware); PLEAD(malware); TrailBlazer(malware)
T1001.002,Steganography,Energy/Utilities,1,RDAT(malware)
T1001.002,Steganography,Government/Public,5,Operation Ghost(campaign); Axiom(intrusion-set); LightNeuron(malware); LunarMail(malware); LunarWeb(malware)
T1001.002,Steganography,Manufacturing/Industrial,1,Axiom(intrusion-set)
T1001.002,Steganography,Telecom,1,RDAT(malware)
T1001.002,Steganography,Transportation/Logistics,1,Axiom(intrusion-set)
T1001.003,Protocol or Service Impersonation,Finance,2,Bankshot(malware); FALLCHILL(malware)
T1001.003,Protocol or Service Impersonation,Government/Public,5,C0017(campaign); Higaisa(intrusion-set); Ninja(malware); KeyBoy(malware); HARDRAIN(malware)
T1001.003,Protocol or Service Impersonation,Manufacturing/Industrial,3,Bankshot(malware); TAINTEDSCRIBE(malware); Uroburos(malware)
T1001.003,Protocol or Service Impersonation,Retail/Consumer,3,Ninja(malware); InvisiMole(malware); Cobalt Strike(malware)
T1001.003,Protocol or Service Impersonation,Telecom,1,FALLCHILL(malware)
T1001.003,Protocol or Service Impersonation,Transportation/Logistics,4,Lazarus Group(intrusion-set); Bankshot(malware); TAINTEDSCRIBE(malware); HARDRAIN(malware)
T1003,OS Credential Dumping,Education,1,Tonto Team(intrusion-set)
T1003,OS Credential Dumping,Energy/Utilities,1,Tonto Team(intrusion-set)
T1003,OS Credential Dumping,Finance,1,Tonto Team(intrusion-set)
T1003,OS Credential Dumping,Government/Public,8,APT32(intrusion-set); APT39(intrusion-set); Leviathan(intrusion-set); Axiom(intrusion-set); Ember Bear(intrusion-set)
T1003,OS Credential Dumping,Healthcare,3,APT39(intrusion-set); Leviathan(intrusion-set); Tonto Team(intrusion-set)
T1003,OS Credential Dumping,Manufacturing/Industrial,2,Leviathan(intrusion-set); Axiom(intrusion-set)
T1003,OS Credential Dumping,Retail/Consumer,1,Poseidon Group(intrusion-set)
T1003,OS Credential Dumping,Technology/IT,1,Tonto Team(intrusion-set)
T1003,OS Credential Dumping,Telecom,2,APT39(intrusion-set); Ember Bear(intrusion-set)
